symbol,banker_name,co_code,company_name,exchange,beta,mes,vulnerable,type,time,count,nskew,duvol,ic_count,ic_nskew,ic_duvol,roa,leverage,nic_prod_code
SBIN.NS,STATE BANK OF INDIA,327425,BALMER LAWRIE INVSTS. LTD.,BSE,0.247401023,0.00161674,1,Public,0,1,4.198846114,1.172666869,-1,-3.462092791,-1.083628501,38.3677,0,64
SBIN.NS,STATE BANK OF INDIA,327425,BALMER LAWRIE INVSTS. LTD.,BSE,0.247401023,0.00161674,1,Public,1,-3,-0.814654117,-0.649070382,-1,-3.462092791,-1.083628501,38.3677,0,64
SBIN.NS,STATE BANK OF INDIA,29728,BALRAMPUR CHINI MILLS LTD.,NSE,0.247401023,0.00161674,1,Public,0,-1,-0.410345482,-0.113625745,0,0.157376946,0.197843149,5.2016,0.6237,10
SBIN.NS,STATE BANK OF INDIA,29728,BALRAMPUR CHINI MILLS LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,-0.878907188,-0.754812152,0,0.157376946,0.197843149,5.2016,0.6237,10
SBIN.NS,STATE BANK OF INDIA,29785,BALURGHAT TECHNOLOGIES LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.060203623,0.274972117,0,0.249004798,0.29377961,5.4539,0.5518,49
SBIN.NS,STATE BANK OF INDIA,29785,BALURGHAT TECHNOLOGIES LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,0.232935737,-0.101509927,0,0.249004798,0.29377961,5.4539,0.5518,49
SBIN.NS,STATE BANK OF INDIA,29843,BAMPSL SECURITIES LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.268318286,-0.209180938,0,-0.121542844,0.195413818,0.0262,0,64
SBIN.NS,STATE BANK OF INDIA,29843,BAMPSL SECURITIES LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,0.12595017,0.983057843,0,-0.121542844,0.195413818,0.0262,0,64
SBIN.NS,STATE BANK OF INDIA,29909,BANCO PRODUCTS (INDIA) LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,1.111106956,0.025943592,1,0.236091351,0.029626023,17.5734,0.0039,29
SBIN.NS,STATE BANK OF INDIA,29909,BANCO PRODUCTS (INDIA) LTD.,NSE,0.247401023,0.00161674,1,Public,0,2,-0.011219227,-0.163617743,1,0.236091351,0.029626023,17.5734,0.0039,29
SBIN.NS,STATE BANK OF INDIA,30882,BASANT AGRO TECH (INDIA) LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,-0.385654865,-0.12351773,0,-0.317769533,-0.371347388,2.3667,0.9393,20
SBIN.NS,STATE BANK OF INDIA,30882,BASANT AGRO TECH (INDIA) LTD.,BSE,0.247401023,0.00161674,1,Public,0,-1,-0.288333116,0.010267528,0,-0.317769533,-0.371347388,2.3667,0.9393,20
SBIN.NS,STATE BANK OF INDIA,31130,BATA INDIA LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.041046116,-0.032598075,0,-0.019646282,0.22722053,11.0102,0,47
SBIN.NS,STATE BANK OF INDIA,31130,BATA INDIA LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,-0.061466789,-0.072360581,0,-0.019646282,0.22722053,11.0102,0,47
SBIN.NS,STATE BANK OF INDIA,31723,BEEKAY STEEL INDS. LTD.,BSE,0.247401023,0.00161674,1,Public,0,1,0.724601798,0.417922062,0,0.142041543,0.164010344,12.6996,0.6048,24
SBIN.NS,STATE BANK OF INDIA,31723,BEEKAY STEEL INDS. LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,0.347497904,0.539873671,0,0.142041543,0.164010344,12.6996,0.6048,24
SBIN.NS,STATE BANK OF INDIA,32255,BENGAL TEA & FABRICS LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.05044707,-0.07548382,0,0.113864376,0.236969931,3.5337,0.2681,10
SBIN.NS,STATE BANK OF INDIA,32255,BENGAL TEA & FABRICS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.116428316,0.113827205,0,0.113864376,0.236969931,3.5337,0.2681,10
SBIN.NS,STATE BANK OF INDIA,33015,BHAGIRADHA CHEMICALS & INDS. LTD.,BSE,0.247401023,0.00161674,1,Public,0,1,0.649270902,0.599444832,1,-0.18082373,-0.235545735,-4.302,0.6005,20
SBIN.NS,STATE BANK OF INDIA,33015,BHAGIRADHA CHEMICALS & INDS. LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.15767788,0.06587945,1,-0.18082373,-0.235545735,-4.302,0.6005,20
SBIN.NS,STATE BANK OF INDIA,33477,BHANDARI HOSIERY EXPORTS LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.02213449,0.671172621,-2,-1.070461604,-0.042358711,3.0792,1.3691,13
