symbol,banker_name,co_code,company_name,exchange,beta,mes,vulnerable,type,time,count,nskew,duvol,ic_count,ic_nskew,ic_duvol
SBIN.NS,STATE BANK OF INDIA,28503,BAFNA PHARMACEUTICALS LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.10917883990227804,-0.08008239027422229,-1,-0.8074671998058681,-0.5657844808837352
SBIN.NS,STATE BANK OF INDIA,374518,BAJAJ AUTO LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.4493985292037807,-0.1509852102853724,0,0.27068518078661397,0.1868805778112486
SBIN.NS,STATE BANK OF INDIA,374518,BAJAJ AUTO LTD.,NSE,0.247401023,0.00161674,1,Public,0,1,0.06872675506068647,-0.07193159486412502,0,0.27068518078661397,0.1868805778112486
SBIN.NS,STATE BANK OF INDIA,28920,BAJAJ ELECTRICALS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.59139174271685,-0.6452484732690342,-2,-0.6179440267040859,-0.22311148605106493
SBIN.NS,STATE BANK OF INDIA,28920,BAJAJ ELECTRICALS LTD.,NSE,0.247401023,0.00161674,1,Public,0,2,0.6322652220626841,0.5384103329330316,-2,-0.6179440267040859,-0.22311148605106493
SBIN.NS,STATE BANK OF INDIA,29258,BALAJI AMINES LTD.,NSE,0.247401023,0.00161674,1,Public,0,-1,-0.3885463934641826,-0.5709637142169,-3,-0.7989945000407929,-0.6494528860414003
SBIN.NS,STATE BANK OF INDIA,29258,BALAJI AMINES LTD.,BSE,0.247401023,0.00161674,1,Public,1,-2,-0.5198714697227381,-0.31635966255089876,-3,-0.7989945000407929,-0.6494528860414003
SBIN.NS,STATE BANK OF INDIA,327425,BALMER LAWRIE INVSTS. LTD.,BSE,0.247401023,0.00161674,1,Public,1,-3,-0.8146541173858551,-0.6490703822367907,-1,-3.4620927911991632,-1.0836285007074566
SBIN.NS,STATE BANK OF INDIA,327425,BALMER LAWRIE INVSTS. LTD.,BSE,0.247401023,0.00161674,1,Public,0,1,4.198846113649032,1.1726668693839872,-1,-3.4620927911991632,-1.0836285007074566
SBIN.NS,STATE BANK OF INDIA,29728,BALRAMPUR CHINI MILLS LTD.,NSE,0.247401023,0.00161674,1,Public,0,-1,-0.4103454819371091,-0.11362574507907028,0,0.15737694556066303,0.197843149146182
SBIN.NS,STATE BANK OF INDIA,29728,BALRAMPUR CHINI MILLS LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,-0.8789071880717885,-0.754812151817233,0,0.15737694556066303,0.197843149146182
SBIN.NS,STATE BANK OF INDIA,29785,BALURGHAT TECHNOLOGIES LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,0.23293573664200218,-0.10150992745547653,0,0.24900479788272006,0.29377961004694875
SBIN.NS,STATE BANK OF INDIA,29785,BALURGHAT TECHNOLOGIES LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.06020362254809912,0.2749721167550102,0,0.24900479788272006,0.29377961004694875
SBIN.NS,STATE BANK OF INDIA,29843,BAMPSL SECURITIES LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.2683182855563916,-0.20918093787262976,0,-0.12154284397712459,0.19541381771270588
SBIN.NS,STATE BANK OF INDIA,29843,BAMPSL SECURITIES LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,0.1259501695862115,0.9830578427749403,0,-0.12154284397712459,0.19541381771270588
SBIN.NS,STATE BANK OF INDIA,29909,BANCO PRODUCTS (INDIA) LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,1.1111069558419604,0.025943592465635514,1,0.23609135084037594,0.029626022629546837
SBIN.NS,STATE BANK OF INDIA,29909,BANCO PRODUCTS (INDIA) LTD.,NSE,0.247401023,0.00161674,1,Public,0,2,-0.011219226934442644,-0.16361774329719464,1,0.23609135084037594,0.029626022629546837
SBIN.NS,STATE BANK OF INDIA,485603,BANSAL ROOFING PRODUCTS LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,1.5573554869935524,1.902913490558792,0,0.5459554220561321,0.9947320517793403
SBIN.NS,STATE BANK OF INDIA,485603,BANSAL ROOFING PRODUCTS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.30497046891377816,-0.12293944280651811,0,0.5459554220561321,0.9947320517793403
SBIN.NS,STATE BANK OF INDIA,30731,BARODA EXTRUSION LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,0.22691840649866993,0.8179749405529917,0,-0.14057250534651675,0.6154810251417019
SBIN.NS,STATE BANK OF INDIA,30731,BARODA EXTRUSION LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.26945521850630255,1.3796470415126179,0,-0.14057250534651675,0.6154810251417019
SBIN.NS,STATE BANK OF INDIA,30882,BASANT AGRO TECH (INDIA) LTD.,BSE,0.247401023,0.00161674,1,Public,0,-1,-0.2883331159078404,0.010267527680572588,0,-0.31776953253108786,-0.37134738756257074
SBIN.NS,STATE BANK OF INDIA,30882,BASANT AGRO TECH (INDIA) LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,-0.3856548651843132,-0.12351772985717517,0,-0.31776953253108786,-0.37134738756257074
SBIN.NS,STATE BANK OF INDIA,31130,BATA INDIA LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,-0.06146678915589683,-0.07236058078601779,0,-0.019646282182193577,0.22722053015442317
SBIN.NS,STATE BANK OF INDIA,31130,BATA INDIA LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.04104611643368962,-0.03259807530071194,0,-0.019646282182193577,0.22722053015442317
SBIN.NS,STATE BANK OF INDIA,31723,BEEKAY STEEL INDS. LTD.,BSE,0.247401023,0.00161674,1,Public,0,1,0.7246017983526316,0.41792206158372897,0,0.14204154267294264,0.16401034371144788
SBIN.NS,STATE BANK OF INDIA,31723,BEEKAY STEEL INDS. LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,0.34749790357907995,0.5398736712259528,0,0.14204154267294264,0.16401034371144788
