,index,co_code,company_name,co_stkdate,nse_closing_price,nse_returns
145,41538,11,20 MICRONS LTD.,2019-08-01,33.35,0.99
146,41539,11,20 MICRONS LTD.,2019-08-02,33.55,1.01
147,41540,11,20 MICRONS LTD.,2019-08-05,32.25,0.96
148,41541,11,20 MICRONS LTD.,2019-08-06,33.0,1.02
149,41542,11,20 MICRONS LTD.,2019-08-07,33.2,1.01
150,41543,11,20 MICRONS LTD.,2019-08-08,34.75,1.05
151,41544,11,20 MICRONS LTD.,2019-08-09,36.15,1.04
152,41545,11,20 MICRONS LTD.,2019-08-13,34.55,0.96
153,41546,11,20 MICRONS LTD.,2019-08-14,34.3,0.99
154,41547,11,20 MICRONS LTD.,2019-08-16,33.35,0.97
155,41548,11,20 MICRONS LTD.,2019-08-19,34.85,1.04
156,41549,11,20 MICRONS LTD.,2019-08-20,34.15,0.98
157,41550,11,20 MICRONS LTD.,2019-08-21,32.95,0.96
158,41551,11,20 MICRONS LTD.,2019-08-22,31.75,0.96
159,41552,11,20 MICRONS LTD.,2019-08-23,31.45,0.99
160,41553,11,20 MICRONS LTD.,2019-08-26,32.05,1.02
161,41554,11,20 MICRONS LTD.,2019-08-27,33.0,1.03
162,41555,11,20 MICRONS LTD.,2019-08-28,32.7,0.99
163,41556,11,20 MICRONS LTD.,2019-08-29,34.05,1.04
164,41557,11,20 MICRONS LTD.,2019-08-30,33.75,0.99
165,41558,11,20 MICRONS LTD.,2019-09-03,33.15,0.98
166,41559,11,20 MICRONS LTD.,2019-09-04,33.05,1.0
167,41560,11,20 MICRONS LTD.,2019-09-05,33.4,1.01
168,41561,11,20 MICRONS LTD.,2019-09-06,33.65,1.01
169,41562,11,20 MICRONS LTD.,2019-09-09,34.3,1.02
170,41563,11,20 MICRONS LTD.,2019-09-11,35.8,1.04
171,41564,11,20 MICRONS LTD.,2019-09-12,35.65,1.0
172,41565,11,20 MICRONS LTD.,2019-09-13,36.95,1.04
173,41566,11,20 MICRONS LTD.,2019-09-16,36.65,0.99
174,41567,11,20 MICRONS LTD.,2019-09-17,35.6,0.97
175,41568,11,20 MICRONS LTD.,2019-09-18,35.8,1.01
176,41569,11,20 MICRONS LTD.,2019-09-19,35.1,0.98
177,41570,11,20 MICRONS LTD.,2019-09-20,37.45,1.07
178,41571,11,20 MICRONS LTD.,2019-09-23,37.55,1.0
179,41572,11,20 MICRONS LTD.,2019-09-24,37.55,1.0
180,41573,11,20 MICRONS LTD.,2019-09-25,37.7,1.0
181,41574,11,20 MICRONS LTD.,2019-09-26,40.0,1.06
182,41575,11,20 MICRONS LTD.,2019-09-27,40.75,1.02
183,41576,11,20 MICRONS LTD.,2019-09-30,40.05,0.98
184,41577,11,20 MICRONS LTD.,2019-10-01,37.9,0.95
185,41578,11,20 MICRONS LTD.,2019-10-03,37.65,0.99
186,41579,11,20 MICRONS LTD.,2019-10-04,38.55,1.02
187,41580,11,20 MICRONS LTD.,2019-10-07,38.2,0.99
188,41581,11,20 MICRONS LTD.,2019-10-09,38.9,1.02
189,41582,11,20 MICRONS LTD.,2019-10-10,38.1,0.9794
190,41583,11,20 MICRONS LTD.,2019-10-11,38.25,1.0039
191,41584,11,20 MICRONS LTD.,2019-10-14,38.05,0.9948
192,41585,11,20 MICRONS LTD.,2019-10-15,38.05,1.0
193,41586,11,20 MICRONS LTD.,2019-10-16,37.85,0.9947
194,41587,11,20 MICRONS LTD.,2019-10-17,37.95,1.0026
195,41588,11,20 MICRONS LTD.,2019-10-18,38.15,1.0053
196,41589,11,20 MICRONS LTD.,2019-10-22,37.45,0.9817
197,41590,11,20 MICRONS LTD.,2019-10-23,37.05,0.9893
198,41591,11,20 MICRONS LTD.,2019-10-24,36.9,0.996
199,41592,11,20 MICRONS LTD.,2019-10-25,36.15,0.9797
200,41593,11,20 MICRONS LTD.,2019-10-27,37.0,1.0235
201,41594,11,20 MICRONS LTD.,2019-10-29,36.75,0.9932
202,41595,11,20 MICRONS LTD.,2019-10-30,37.6,1.0231
203,41596,11,20 MICRONS LTD.,2019-10-31,38.35,1.0199
204,41597,11,20 MICRONS LTD.,2019-11-01,37.7,0.9831
205,41598,11,20 MICRONS LTD.,2019-11-04,37.35,0.9907
206,41599,11,20 MICRONS LTD.,2019-11-05,39.0,1.0442
207,41600,11,20 MICRONS LTD.,2019-11-06,38.45,0.9859
208,41601,11,20 MICRONS LTD.,2019-11-07,39.05,1.0156
209,41602,11,20 MICRONS LTD.,2019-11-08,37.1,0.9501
210,41603,11,20 MICRONS LTD.,2019-11-11,36.65,0.9879
211,41604,11,20 MICRONS LTD.,2019-11-13,36.4,0.9932
212,41605,11,20 MICRONS LTD.,2019-11-14,35.9,0.9863
213,41606,11,20 MICRONS LTD.,2019-11-15,35.65,0.993
214,41607,11,20 MICRONS LTD.,2019-11-18,34.55,0.9691
215,41608,11,20 MICRONS LTD.,2019-11-19,34.05,0.9855
216,41609,11,20 MICRONS LTD.,2019-11-20,34.9,1.025
217,41610,11,20 MICRONS LTD.,2019-11-21,34.0,0.9742
218,41611,11,20 MICRONS LTD.,2019-11-22,33.1,0.9735
219,41612,11,20 MICRONS LTD.,2019-11-25,33.75,1.0196
220,41613,11,20 MICRONS LTD.,2019-11-26,33.8,1.0015
221,41614,11,20 MICRONS LTD.,2019-11-27,34.35,1.0163
222,41615,11,20 MICRONS LTD.,2019-11-28,34.1,0.9927
223,41616,11,20 MICRONS LTD.,2019-11-29,33.55,0.9839
224,41617,11,20 MICRONS LTD.,2019-12-02,33.5,0.9985
225,41618,11,20 MICRONS LTD.,2019-12-03,33.35,0.9955
226,41619,11,20 MICRONS LTD.,2019-12-04,32.9,0.9865
227,41620,11,20 MICRONS LTD.,2019-12-05,32.7,0.9939
228,41621,11,20 MICRONS LTD.,2019-12-06,32.55,0.9954
229,41622,11,20 MICRONS LTD.,2019-12-09,32.35,0.9939
230,41623,11,20 MICRONS LTD.,2019-12-10,32.1,0.9923
231,41624,11,20 MICRONS LTD.,2019-12-11,32.25,1.0047
232,41625,11,20 MICRONS LTD.,2019-12-12,32.1,0.9953
233,41626,11,20 MICRONS LTD.,2019-12-13,31.75,0.9891
234,41627,11,20 MICRONS LTD.,2019-12-16,32.0,1.0079
235,41628,11,20 MICRONS LTD.,2019-12-17,31.9,0.9969
236,41629,11,20 MICRONS LTD.,2019-12-18,31.9,1.0
237,41630,11,20 MICRONS LTD.,2019-12-19,32.3,1.0125
238,41631,11,20 MICRONS LTD.,2019-12-20,32.8,1.0155
239,41632,11,20 MICRONS LTD.,2019-12-23,32.25,0.9832
240,41633,11,20 MICRONS LTD.,2019-12-24,32.25,1.0
241,41634,11,20 MICRONS LTD.,2019-12-26,32.3,1.0016
242,41635,11,20 MICRONS LTD.,2019-12-27,32.45,1.0046
243,41636,11,20 MICRONS LTD.,2019-12-30,33.1,1.02
244,41637,11,20 MICRONS LTD.,2019-12-31,35.2,1.0634
245,41638,11,20 MICRONS LTD.,2020-01-01,35.8,1.017
246,41639,11,20 MICRONS LTD.,2020-01-02,35.55,0.993
247,41640,11,20 MICRONS LTD.,2020-01-03,35.05,0.9859
248,41641,11,20 MICRONS LTD.,2020-01-06,32.8,0.9358
249,41642,11,20 MICRONS LTD.,2020-01-07,33.2,1.0122
250,41643,11,20 MICRONS LTD.,2020-01-08,32.7,0.9849
251,41644,11,20 MICRONS LTD.,2020-01-09,33.4,1.0214
252,41645,11,20 MICRONS LTD.,2020-01-10,34.3,1.0269
253,41646,11,20 MICRONS LTD.,2020-01-13,35.9,1.0466
254,41647,11,20 MICRONS LTD.,2020-01-14,36.05,1.0042
255,41648,11,20 MICRONS LTD.,2020-01-15,36.05,1.0
256,41649,11,20 MICRONS LTD.,2020-01-16,35.55,0.9861
257,41650,11,20 MICRONS LTD.,2020-01-17,35.05,0.9859
258,41651,11,20 MICRONS LTD.,2020-01-20,34.35,0.98
259,41652,11,20 MICRONS LTD.,2020-01-21,34.25,0.9971
260,41653,11,20 MICRONS LTD.,2020-01-22,33.5,0.9781
261,41654,11,20 MICRONS LTD.,2020-01-23,33.7,1.006
262,41655,11,20 MICRONS LTD.,2020-01-24,36.5,1.0831
263,41656,11,20 MICRONS LTD.,2020-01-27,36.15,0.9904
264,41657,11,20 MICRONS LTD.,2020-01-28,36.0,0.9959
265,41658,11,20 MICRONS LTD.,2020-01-29,35.15,0.9764
266,41659,11,20 MICRONS LTD.,2020-01-30,34.7,0.9872
267,41660,11,20 MICRONS LTD.,2020-01-31,34.9,1.0058
268,41661,11,20 MICRONS LTD.,2020-02-01,33.75,0.967
269,41662,11,20 MICRONS LTD.,2020-02-03,34.45,1.0207
270,41663,11,20 MICRONS LTD.,2020-02-04,34.8,1.0102
271,41664,11,20 MICRONS LTD.,2020-02-05,34.9,1.0029
272,41665,11,20 MICRONS LTD.,2020-02-06,34.3,0.9828
273,41666,11,20 MICRONS LTD.,2020-02-07,34.15,0.9956
274,41667,11,20 MICRONS LTD.,2020-02-10,33.85,0.9912
275,41668,11,20 MICRONS LTD.,2020-02-11,34.05,1.0059
276,41669,11,20 MICRONS LTD.,2020-02-12,34.5,1.0132
277,41670,11,20 MICRONS LTD.,2020-02-13,35.35,1.0246
278,41671,11,20 MICRONS LTD.,2020-02-14,34.8,0.9844
279,41672,11,20 MICRONS LTD.,2020-02-17,33.5,0.9626
280,41673,11,20 MICRONS LTD.,2020-02-18,32.95,0.9836
281,41674,11,20 MICRONS LTD.,2020-02-19,32.9,0.9985
282,41675,11,20 MICRONS LTD.,2020-02-20,34.45,1.0471
283,41676,11,20 MICRONS LTD.,2020-02-24,33.85,0.9826
284,41677,11,20 MICRONS LTD.,2020-02-25,33.5,0.9897
285,41678,11,20 MICRONS LTD.,2020-02-26,33.5,1.0
286,41679,11,20 MICRONS LTD.,2020-02-27,32.8,0.9791
287,41680,11,20 MICRONS LTD.,2020-02-28,31.2,0.9512
288,41681,11,20 MICRONS LTD.,2020-03-02,31.15,0.9984
289,41682,11,20 MICRONS LTD.,2020-03-03,31.1,0.9984
290,41683,11,20 MICRONS LTD.,2020-03-04,30.25,0.9727
291,41684,11,20 MICRONS LTD.,2020-03-05,30.8,1.0182
292,41685,11,20 MICRONS LTD.,2020-03-06,29.65,0.9627
293,41686,11,20 MICRONS LTD.,2020-03-09,27.7,0.9342
294,41687,11,20 MICRONS LTD.,2020-03-11,26.85,0.9693
295,41688,11,20 MICRONS LTD.,2020-03-12,22.65,0.8436
296,41689,11,20 MICRONS LTD.,2020-03-13,24.15,1.0662
297,41690,11,20 MICRONS LTD.,2020-03-16,22.95,0.9503
298,41691,11,20 MICRONS LTD.,2020-03-17,24.55,1.0697
299,41692,11,20 MICRONS LTD.,2020-03-18,23.05,0.9389
300,41693,11,20 MICRONS LTD.,2020-03-19,22.25,0.9913
301,41694,11,20 MICRONS LTD.,2020-03-20,22.6,1.0157
302,41695,11,20 MICRONS LTD.,2020-03-23,19.9,0.8805
303,41696,11,20 MICRONS LTD.,2020-03-24,20.15,1.0126
304,41697,11,20 MICRONS LTD.,2020-03-25,20.0,0.9926
305,41698,11,20 MICRONS LTD.,2020-03-26,21.75,1.0875
306,41699,11,20 MICRONS LTD.,2020-03-27,23.15,1.0644
307,41700,11,20 MICRONS LTD.,2020-03-30,24.3,1.0497
308,41701,11,20 MICRONS LTD.,2020-03-31,25.55,1.0514
309,41702,11,20 MICRONS LTD.,2020-04-01,24.55,0.9609
310,41703,11,20 MICRONS LTD.,2020-04-03,24.45,0.9959
311,41704,11,20 MICRONS LTD.,2020-04-07,27.5,1.1247
312,41705,11,20 MICRONS LTD.,2020-04-08,26.2,0.9527
313,41706,11,20 MICRONS LTD.,2020-04-09,26.6,1.0153
314,41707,11,20 MICRONS LTD.,2020-04-13,26.2,0.985
315,41708,11,20 MICRONS LTD.,2020-04-15,27.85,1.063
316,41709,11,20 MICRONS LTD.,2020-04-16,26.8,0.9623
317,41710,11,20 MICRONS LTD.,2020-04-17,28.75,1.0728
318,41711,11,20 MICRONS LTD.,2020-04-20,33.15,1.153
319,41712,11,20 MICRONS LTD.,2020-04-21,30.2,0.911
320,41713,11,20 MICRONS LTD.,2020-04-22,29.65,0.9818
321,41714,11,20 MICRONS LTD.,2020-04-23,29.75,1.0034
